trial,alpha,alg,group,t,t-inv
0,0.1,eval,103.0,1325.0,1030.0
0,0.1,eval,80.0,2916.0,1290.0
0,0.1,eval,46.0,3505.0,1153.0
0,0.1,eval,81.0,3703.0,2568.0
0,0.1,eval,51.0,4181.0,3014.0
0,0.1,eval,7.0,7198.0,2644.0
0,0.1,eval,6.0,8009.0,1574.0
0,0.1,eval,29.0,8096.0,1404.0
0,0.1,eval,34.0,9332.0,142.0
0,0.1,eval,30.0,9420.0,4141.0
0,0.1,eval,86.0,15558.0,6904.0
0,0.1,lilt,103.0,3594.0,3438.0
0,0.1,lila,7.0,69.0,69.0
0,0.1,lila,103.0,1078.0,51.0
0,0.1,lila,46.0,1533.0,54.0
0,0.1,lila,80.0,1533.0,113.0
0,0.1,lila,51.0,3202.0,86.0
0,0.1,lila,81.0,3574.0,69.0
0,0.1,lila,29.0,5007.0,329.0
0,0.1,lila,6.0,6006.0,113.0
0,0.1,lila,78.0,8018.0,86.0
0,0.1,lila,86.0,8704.0,61.0
0,0.1,lila,30.0,9293.0,490.0
0,0.1,lila,34.0,9730.0,61.0
0,0.1,lila,2.0,14911.0,137.0
0,0.1,lila,87.0,18148.0,147.0
0,0.1,lila,79.0,19694.0,121.0
1,0.1,eval,103.0,3260.0,142.0
1,0.1,eval,80.0,3642.0,181.0
1,0.1,eval,6.0,4552.0,2863.0
1,0.1,eval,46.0,5195.0,181.0
1,0.1,eval,81.0,5516.0,2641.0
1,0.1,eval,51.0,7971.0,3505.0
1,0.1,eval,87.0,11538.0,7229.0
1,0.1,eval,28.0,13014.0,235.0
1,0.1,eval,79.0,13063.0,7055.0
1,0.1,eval,7.0,13840.0,2222.0
1,0.1,eval,86.0,15756.0,588.0
1,0.1,eval,29.0,16298.0,5047.0
1,0.1,lilt,103.0,6761.0,16.0
1,0.1,lila,53.0,55.0,310.0
1,0.1,lila,105.0,55.0,55.0
1,0.1,lila,75.0,57.0,57.0
1,0.1,lila,3.0,65.0,412.0
1,0.1,lila,48.0,145.0,145.0
1,0.1,lila,6.0,181.0,95.0
1,0.1,lila,103.0,2399.0,51.0
1,0.1,lila,80.0,3388.0,51.0
1,0.1,lila,81.0,3632.0,116.0
1,0.1,lila,51.0,4567.0,81.0
1,0.1,lila,7.0,4817.0,116.0
1,0.1,lila,46.0,5012.0,51.0
1,0.1,lila,83.0,7582.0,1099.0
1,0.1,lila,30.0,7948.0,566.0
1,0.1,lila,87.0,10507.0,303.0
1,0.1,lila,28.0,11963.0,130.0
1,0.1,lila,79.0,12047.0,122.0
1,0.1,lila,29.0,13522.0,199.0
1,0.1,lila,86.0,15215.0,107.0
1,0.1,lila,34.0,15986.0,107.0
1,0.1,lila,35.0,17048.0,669.0
2,0.1,eval,6.0,3586.0,2138.0
2,0.1,eval,103.0,5586.0,2301.0
2,0.1,eval,80.0,5761.0,2144.0
2,0.1,eval,51.0,7158.0,5603.0
2,0.1,eval,86.0,9080.0,263.0
2,0.1,eval,46.0,9330.0,2373.0
2,0.1,eval,81.0,11276.0,9396.0
2,0.1,eval,7.0,11282.0,6450.0
2,0.1,eval,11.0,16571.0,12652.0
2,0.1,eval,29.0,17170.0,5941.0
2,0.1,lilt,103.0,8681.0,8298.0
2,0.1,lila,6.0,2248.0,196.0
2,0.1,lila,103.0,2728.0,51.0
2,0.1,lila,80.0,2746.0,155.0
2,0.1,lila,46.0,3170.0,131.0
2,0.1,lila,51.0,5895.0,140.0
2,0.1,lila,29.0,8173.0,239.0
2,0.1,lila,86.0,8994.0,100.0
2,0.1,lila,81.0,9821.0,288.0
2,0.1,lila,79.0,9905.0,243.0
2,0.1,lila,7.0,11291.0,561.0
2,0.1,lila,34.0,11687.0,100.0
2,0.1,lila,11.0,16166.0,262.0
2,0.1,lila,30.0,16728.0,504.0
3,0.1,eval,46.0,3296.0,199.0
3,0.1,eval,103.0,3975.0,1276.0
3,0.1,eval,81.0,4822.0,1803.0
3,0.1,eval,7.0,5813.0,2969.0
3,0.1,eval,51.0,8625.0,8008.0
3,0.1,eval,80.0,9329.0,1070.0
3,0.1,eval,6.0,9500.0,718.0
3,0.1,lilt,103.0,8487.0,8450.0
3,0.1,lila,46.0,241.0,59.0
3,0.1,lila,103.0,1475.0,51.0
3,0.1,lila,81.0,3244.0,142.0
3,0.1,lila,7.0,5492.0,142.0
3,0.1,lila,88.0,5836.0,323.0
3,0.1,lila,6.0,7610.0,199.0
3,0.1,lila,51.0,8361.0,121.0
3,0.1,lila,80.0,8439.0,91.0
3,0.1,lila,30.0,9331.0,408.0
3,0.1,lila,76.0,9694.0,1128.0
3,0.1,lila,79.0,13915.0,194.0
3,0.1,lila,5.0,14475.0,194.0
3,0.1,lila,87.0,19071.0,139.0
3,0.1,lila,29.0,19861.0,281.0
4,0.1,eval,103.0,690.0,68.0
4,0.1,eval,46.0,1981.0,626.0
4,0.1,eval,79.0,2350.0,1136.0
4,0.1,eval,51.0,3049.0,151.0
4,0.1,eval,80.0,6900.0,613.0
4,0.1,eval,6.0,8085.0,354.0
4,0.1,lilt,103.0,2074.0,10.0
4,0.1,lila,11.0,51.0,51.0
4,0.1,lila,86.0,58.0,51.0
4,0.1,lila,6.0,68.0,51.0
4,0.1,lila,80.0,94.0,51.0
4,0.1,lila,51.0,189.0,51.0
4,0.1,lila,103.0,218.0,51.0
4,0.1,lila,46.0,773.0,51.0
4,0.1,lila,79.0,1322.0,89.0
4,0.1,lila,5.0,2025.0,156.0
4,0.1,lila,83.0,7362.0,644.0
4,0.1,lila,87.0,14511.0,96.0
4,0.1,lila,82.0,16480.0,203.0
4,0.1,lila,30.0,16820.0,400.0
4,0.1,lila,81.0,18243.0,152.0
5,0.1,eval,80.0,3182.0,2509.0
5,0.1,eval,6.0,3858.0,2478.0
5,0.1,eval,103.0,5007.0,2734.0
5,0.1,eval,46.0,5991.0,4912.0
5,0.1,eval,51.0,9735.0,173.0
5,0.1,eval,29.0,9938.0,3381.0
5,0.1,eval,86.0,11400.0,171.0
5,0.1,eval,30.0,11811.0,2749.0
5,0.1,eval,81.0,14168.0,2692.0
5,0.1,eval,87.0,19397.0,853.0
5,0.1,eval,35.0,19457.0,1933.0
5,0.1,lilt,103.0,7865.0,23.0
5,0.1,lila,12.0,51.0,51.0
5,0.1,lila,26.0,51.0,966.0
5,0.1,lila,77.0,51.0,317.0
5,0.1,lila,87.0,51.0,51.0
5,0.1,lila,30.0,99.0,95.0
5,0.1,lila,86.0,402.0,57.0
5,0.1,lila,103.0,2935.0,51.0
5,0.1,lila,35.0,3081.0,235.0
5,0.1,lila,80.0,3096.0,102.0
5,0.1,lila,6.0,3657.0,102.0
5,0.1,lila,29.0,5335.0,305.0
5,0.1,lila,46.0,5620.0,85.0
5,0.1,lila,51.0,5640.0,51.0
5,0.1,lila,79.0,6646.0,123.0
5,0.1,lila,81.0,10291.0,95.0
6,0.1,eval,46.0,747.0,104.0
6,0.1,eval,103.0,992.0,59.0
6,0.1,eval,34.0,1073.0,718.0
6,0.1,eval,86.0,1119.0,771.0
6,0.1,eval,79.0,2939.0,1011.0
6,0.1,eval,51.0,3049.0,1782.0
6,0.1,eval,80.0,3294.0,89.0
6,0.1,eval,11.0,6672.0,3817.0
6,0.1,eval,7.0,9179.0,4860.0
6,0.1,eval,81.0,9996.0,2361.0
6,0.1,eval,29.0,12390.0,3485.0
6,0.1,eval,6.0,13363.0,104.0
6,0.1,eval,5.0,15258.0,518.0
6,0.1,lilt,103.0,2714.0,2605.0
6,0.1,lila,48.0,51.0,51.0
6,0.1,lila,105.0,51.0,51.0
6,0.1,lila,90.0,57.0,639.0
6,0.1,lila,6.0,66.0,58.0
6,0.1,lila,80.0,73.0,54.0
6,0.1,lila,46.0,113.0,51.0
6,0.1,lila,103.0,135.0,51.0
6,0.1,lila,5.0,794.0,55.0
6,0.1,lila,34.0,916.0,51.0
6,0.1,lila,86.0,1119.0,51.0
6,0.1,lila,79.0,2560.0,55.0
6,0.1,lila,51.0,2699.0,51.0
6,0.1,lila,29.0,5170.0,135.0
6,0.1,lila,11.0,6444.0,346.0
6,0.1,lila,7.0,6600.0,565.0
6,0.1,lila,81.0,9729.0,285.0
7,0.1,eval,103.0,1681.0,293.0
7,0.1,eval,51.0,1739.0,1365.0
7,0.1,eval,80.0,6305.0,4223.0
7,0.1,eval,30.0,6465.0,2407.0
7,0.1,eval,6.0,7935.0,6139.0
7,0.1,eval,81.0,8110.0,911.0
7,0.1,eval,46.0,8771.0,3809.0
7,0.1,eval,88.0,10246.0,5762.0
7,0.1,eval,5.0,13804.0,11533.0
7,0.1,eval,13.0,13952.0,5876.0
7,0.1,eval,29.0,15206.0,1616.0
7,0.1,eval,79.0,17284.0,6057.0
7,0.1,eval,7.0,18380.0,2043.0
7,0.1,lilt,103.0,8818.0,8610.0
7,0.1,lilt,46.0,17137.0,8610.0
7,0.1,lila,3.0,51.0,156.0
7,0.1,lila,10.0,51.0,51.0
7,0.1,lila,75.0,51.0,51.0
7,0.1,lila,103.0,1653.0,51.0
