trial,alpha,alg,group,t,t-inv
0,0.1,eval,103.0,350.0,218.0
0,0.1,eval,46.0,1014.0,347.0
0,0.1,eval,79.0,1027.0,284.0
0,0.1,eval,51.0,1079.0,336.0
0,0.1,eval,80.0,1229.0,1056.0
0,0.1,eval,78.0,1392.0,683.0
0,0.1,eval,5.0,2009.0,394.0
0,0.1,eval,6.0,2539.0,1153.0
0,0.1,eval,81.0,2610.0,1862.0
0,0.1,eval,29.0,2651.0,1196.0
0,0.1,eval,7.0,2965.0,1951.0
0,0.1,eval,27.0,3710.0,1306.0
0,0.1,eval,104.0,3783.0,2429.0
0,0.1,eval,86.0,3825.0,142.0
0,0.1,eval,34.0,4027.0,131.0
0,0.1,eval,47.0,4446.0,2532.0
0,0.1,eval,30.0,4609.0,3035.0
0,0.1,eval,4.0,4767.0,1339.0
0,0.1,eval,2.0,5733.0,2147.0
0,0.1,eval,87.0,6298.0,5406.0
0,0.1,eval,74.0,6353.0,299.0
0,0.1,eval,52.0,6725.0,4532.0
0,0.1,eval,11.0,6858.0,1808.0
0,0.1,eval,28.0,7911.0,950.0
0,0.1,eval,35.0,8368.0,5643.0
0,0.1,eval,83.0,9261.0,2609.0
0,0.1,eval,89.0,9309.0,2028.0
0,0.1,lilt,103.0,1136.0,1065.0
0,0.1,lilt,46.0,4767.0,1065.0
0,0.1,lilt,104.0,5195.0,1065.0
0,0.1,lilt,51.0,7327.0,1065.0
0,0.1,lilt,52.0,9674.0,1065.0
0,0.1,lila,7.0,69.0,69.0
0,0.1,lila,34.0,131.0,61.0
0,0.1,lila,2.0,198.0,137.0
0,0.1,lila,103.0,326.0,51.0
0,0.1,lila,79.0,394.0,121.0
0,0.1,lila,46.0,404.0,54.0
0,0.1,lila,51.0,923.0,86.0
0,0.1,lila,5.0,1150.0,234.0
0,0.1,lila,80.0,1153.0,113.0
0,0.1,lila,6.0,1301.0,113.0
0,0.1,lila,78.0,1306.0,86.0
0,0.1,lila,29.0,1434.0,329.0
0,0.1,lila,4.0,1671.0,218.0
0,0.1,lila,86.0,2195.0,61.0
0,0.1,lila,81.0,2447.0,69.0
0,0.1,lila,47.0,2865.0,53.0
0,0.1,lila,104.0,2874.0,51.0
0,0.1,lila,27.0,3237.0,88.0
0,0.1,lila,30.0,3694.0,490.0
0,0.1,lila,106.0,4462.0,450.0
0,0.1,lila,11.0,5357.0,395.0
0,0.1,lila,87.0,5513.0,147.0
0,0.1,lila,74.0,5616.0,120.0
0,0.1,lila,10.0,5668.0,225.0
0,0.1,lila,52.0,6159.0,51.0
0,0.1,lila,28.0,6229.0,165.0
0,0.1,lila,35.0,6342.0,147.0
0,0.1,lila,83.0,6667.0,1328.0
0,0.1,lila,85.0,7818.0,90.0
0,0.1,lila,89.0,9308.0,379.0
0,0.1,lila,12.0,9406.0,926.0
1,0.1,eval,103.0,283.0,150.0
1,0.1,eval,104.0,622.0,136.0
1,0.1,eval,52.0,625.0,234.0
1,0.1,eval,51.0,842.0,166.0
1,0.1,eval,80.0,849.0,130.0
1,0.1,eval,6.0,920.0,132.0
1,0.1,eval,46.0,1589.0,863.0
1,0.1,eval,79.0,1634.0,827.0
1,0.1,eval,29.0,2372.0,1757.0
1,0.1,eval,81.0,2791.0,1126.0
1,0.1,eval,86.0,2866.0,71.0
1,0.1,eval,47.0,3170.0,1164.0
1,0.1,eval,28.0,3192.0,855.0
1,0.1,eval,5.0,3203.0,1576.0
1,0.1,eval,30.0,3613.0,1587.0
1,0.1,eval,87.0,4346.0,895.0
1,0.1,eval,7.0,4531.0,2926.0
1,0.1,eval,34.0,4665.0,71.0
1,0.1,eval,35.0,4872.0,902.0
1,0.1,eval,88.0,5789.0,801.0
1,0.1,eval,85.0,6468.0,5271.0
1,0.1,eval,36.0,6470.0,372.0
1,0.1,eval,33.0,9115.0,6191.0
1,0.1,eval,89.0,9378.0,4369.0
1,0.1,lilt,104.0,1219.0,7.0
1,0.1,lilt,103.0,1634.0,35.0
1,0.1,lilt,51.0,6351.0,628.0
1,0.1,lilt,52.0,6445.0,14.0
1,0.1,lilt,46.0,8288.0,628.0
1,0.1,lila,34.0,51.0,51.0
1,0.1,lila,86.0,54.0,51.0
1,0.1,lila,6.0,70.0,69.0
1,0.1,lila,2.0,78.0,78.0
1,0.1,lila,3.0,99.0,818.0
1,0.1,lila,80.0,130.0,69.0
1,0.1,lila,27.0,170.0,106.0
1,0.1,lila,103.0,170.0,51.0
1,0.1,lila,104.0,235.0,51.0
1,0.1,lila,51.0,249.0,65.0
1,0.1,lila,36.0,351.0,234.0
1,0.1,lila,52.0,372.0,51.0
1,0.1,lila,88.0,372.0,234.0
1,0.1,lila,28.0,881.0,191.0
1,0.1,lila,79.0,881.0,190.0
1,0.1,lila,46.0,956.0,55.0
1,0.1,lila,35.0,986.0,245.0
1,0.1,lila,87.0,988.0,153.0
1,0.1,lila,30.0,1827.0,322.0
1,0.1,lila,29.0,1957.0,236.0
1,0.1,lila,81.0,2601.0,300.0
1,0.1,lila,47.0,2921.0,51.0
1,0.1,lila,5.0,3194.0,272.0
1,0.1,lila,7.0,3687.0,600.0
1,0.1,lila,85.0,5611.0,58.0
1,0.1,lila,12.0,6476.0,161.0
1,0.1,lila,33.0,6685.0,108.0
1,0.1,lila,89.0,8990.0,480.0
1,0.1,lila,75.0,9347.0,103.0
1,0.1,lila,14.0,9378.0,654.0
1,0.1,lila,78.0,9978.0,105.0
