trial,alpha,alg,group,t,t-inv
0,0.1,eval,13.0,51.0,101.0
0,0.1,eval,24.0,71.0,101.0
0,0.1,eval,7.0,314.0,286.0
0,0.1,sprt,13.0,1113.0,400.0
0,0.1,sprt,24.0,1337.0,562.0
0,0.1,sprt,7.0,1657.0,718.0
0,0.1,lilt,13.0,264.0,101.0
0,0.1,lilt,24.0,574.0,101.0
0,0.1,lilt,7.0,1075.0,101.0
0,0.1,lila,13.0,101.0,101.0
0,0.1,lila,24.0,101.0,101.0
0,0.1,lila,7.0,308.0,101.0
1,0.1,eval,13.0,88.0,101.0
1,0.1,eval,24.0,205.0,106.0
1,0.1,eval,7.0,371.0,146.0
1,0.1,sprt,13.0,977.0,396.0
1,0.1,sprt,24.0,1265.0,542.0
1,0.1,sprt,7.0,1472.0,586.0
1,0.1,lilt,13.0,219.0,101.0
1,0.1,lilt,24.0,552.0,101.0
1,0.1,lilt,7.0,613.0,101.0
1,0.1,lila,13.0,101.0,101.0
1,0.1,lila,24.0,141.0,101.0
1,0.1,lila,7.0,356.0,101.0
2,0.1,eval,7.0,61.0,101.0
2,0.1,eval,13.0,134.0,109.0
2,0.1,eval,24.0,201.0,167.0
2,0.1,sprt,13.0,857.0,422.0
2,0.1,sprt,24.0,1174.0,506.0
2,0.1,sprt,7.0,1280.0,494.0
2,0.1,lilt,7.0,136.0,101.0
2,0.1,lilt,13.0,207.0,101.0
2,0.1,lilt,24.0,506.0,101.0
2,0.1,lila,7.0,101.0,101.0
2,0.1,lila,13.0,127.0,101.0
2,0.1,lila,24.0,191.0,101.0
3,0.1,eval,13.0,143.0,101.0
3,0.1,eval,24.0,200.0,161.0
3,0.1,eval,7.0,208.0,121.0
3,0.1,sprt,7.0,1033.0,443.0
3,0.1,sprt,13.0,1053.0,371.0
3,0.1,sprt,24.0,1291.0,445.0
3,0.1,lilt,13.0,254.0,101.0
3,0.1,lilt,24.0,312.0,101.0
3,0.1,lilt,7.0,430.0,101.0
3,0.1,lila,13.0,101.0,101.0
3,0.1,lila,24.0,197.0,101.0
3,0.1,lila,7.0,207.0,101.0
4,0.1,eval,13.0,96.0,101.0
4,0.1,eval,7.0,137.0,101.0
4,0.1,eval,24.0,208.0,101.0
4,0.1,sprt,13.0,1011.0,410.0
4,0.1,sprt,24.0,1554.0,465.0
4,0.1,sprt,7.0,1681.0,571.0
4,0.1,lilt,13.0,224.0,101.0
