trial,alpha,alg,group,t,t-inv
0,0.1,eval,28.0,2113.0,1214.0
0,0.1,eval,103.0,4654.0,2007.0
0,0.1,eval,51.0,8045.0,2090.0
0,0.1,eval,80.0,10126.0,4164.0
0,0.1,eval,29.0,10322.0,1690.0
0,0.1,eval,6.0,17268.0,6193.0
0,0.1,eval,46.0,17351.0,6226.0
0,0.1,lilt,103.0,11512.0,11378.0
0,0.1,lila,29.0,51.0,51.0
0,0.1,lila,76.0,88.0,373.0
0,0.1,lila,28.0,2020.0,200.0
0,0.1,lila,103.0,4009.0,51.0
0,0.1,lila,51.0,5572.0,51.0
0,0.1,lila,80.0,5647.0,51.0
0,0.1,lila,6.0,14245.0,193.0
0,0.1,lila,46.0,15161.0,77.0
0,0.1,lila,83.0,16078.0,753.0
1,0.1,eval,80.0,2203.0,386.0
1,0.1,eval,103.0,2306.0,386.0
1,0.1,eval,29.0,2341.0,1267.0
1,0.1,eval,51.0,4363.0,2024.0
1,0.1,eval,46.0,16449.0,971.0
1,0.1,eval,6.0,17905.0,897.0
1,0.1,lilt,103.0,5638.0,5467.0
1,0.1,lila,37.0,71.0,71.0
1,0.1,lila,103.0,1116.0,51.0
1,0.1,lila,80.0,1267.0,61.0
1,0.1,lila,29.0,2054.0,230.0
1,0.1,lila,51.0,2080.0,51.0
1,0.1,lila,6.0,4185.0,61.0
1,0.1,lila,46.0,9389.0,54.0
1,0.1,lila,28.0,13959.0,145.0
1,0.1,lila,79.0,15957.0,117.0
2,0.1,eval,103.0,433.0,243.0
2,0.1,eval,46.0,442.0,237.0
2,0.1,eval,80.0,4467.0,519.0
2,0.1,eval,51.0,4900.0,490.0
2,0.1,eval,29.0,7471.0,4364.0
2,0.1,eval,83.0,9728.0,1660.0
2,0.1,eval,6.0,9739.0,825.0
2,0.1,lilt,103.0,9661.0,4.0
2,0.1,lila,46.0,259.0,51.0
2,0.1,lila,103.0,284.0,51.0
2,0.1,lila,7.0,311.0,229.0
2,0.1,lila,83.0,3894.0,667.0
2,0.1,lila,51.0,4072.0,98.0
2,0.1,lila,80.0,4101.0,51.0
2,0.1,lila,29.0,5408.0,188.0
2,0.1,lila,28.0,7198.0,253.0
2,0.1,lila,6.0,8695.0,257.0
2,0.1,lila,79.0,11042.0,56.0
3,0.1,eval,103.0,2961.0,499.0
3,0.1,eval,81.0,6970.0,860.0
3,0.1,eval,51.0,8166.0,2694.0
3,0.1,eval,29.0,8338.0,2577.0
3,0.1,eval,30.0,8648.0,1378.0
3,0.1,eval,80.0,9866.0,330.0
3,0.1,eval,83.0,10126.0,3762.0
3,0.1,eval,7.0,13891.0,1554.0
3,0.1,eval,46.0,14166.0,59.0
3,0.1,eval,6.0,19723.0,499.0
3,0.1,lilt,103.0,10193.0,9867.0
3,0.1,lila,7.0,51.0,51.0
3,0.1,lila,46.0,51.0,51.0
3,0.1,lila,26.0,154.0,154.0
3,0.1,lila,103.0,1199.0,51.0
3,0.1,lila,81.0,1600.0,51.0
3,0.1,lila,80.0,2943.0,78.0
3,0.1,lila,29.0,3097.0,102.0
3,0.1,lila,51.0,6169.0,100.0
3,0.1,lila,83.0,7143.0,938.0
3,0.1,lila,79.0,7259.0,80.0
3,0.1,lila,30.0,8572.0,459.0
3,0.1,lila,28.0,19111.0,177.0
3,0.1,lila,6.0,19700.0,202.0
4,0.1,eval,80.0,2606.0,252.0
4,0.1,eval,6.0,2649.0,234.0
4,0.1,eval,103.0,5671.0,231.0
4,0.1,eval,46.0,13637.0,254.0
4,0.1,eval,51.0,16989.0,4664.0
4,0.1,eval,81.0,17658.0,4520.0
4,0.1,lilt,103.0,18169.0,17635.0
4,0.1,lila,6.0,254.0,152.0
4,0.1,lila,53.0,707.0,187.0
4,0.1,lila,80.0,2471.0,151.0
4,0.1,lila,51.0,4770.0,69.0
4,0.1,lila,103.0,5302.0,51.0
4,0.1,lila,46.0,13531.0,115.0
4,0.1,lila,81.0,16424.0,247.0
4,0.1,lila,28.0,16727.0,162.0
4,0.1,lila,29.0,18312.0,328.0
4,0.1,lila,79.0,18930.0,69.0
4,0.1,lila,30.0,19156.0,347.0
5,0.1,eval,6.0,3421.0,2101.0
5,0.1,eval,103.0,4131.0,2542.0
5,0.1,eval,51.0,8108.0,5626.0
5,0.1,eval,81.0,8408.0,4015.0
5,0.1,eval,80.0,9064.0,2101.0
5,0.1,eval,46.0,9326.0,2943.0
5,0.1,eval,79.0,9444.0,7276.0
5,0.1,eval,30.0,15535.0,11522.0
5,0.1,lilt,103.0,8026.0,7783.0
5,0.1,lila,76.0,189.0,189.0
5,0.1,lila,103.0,2901.0,51.0
5,0.1,lila,6.0,3389.0,141.0
5,0.1,lila,83.0,3955.0,886.0
5,0.1,lila,46.0,4030.0,65.0
5,0.1,lila,81.0,5237.0,198.0
5,0.1,lila,80.0,5604.0,141.0
5,0.1,lila,51.0,6893.0,63.0
5,0.1,lila,79.0,7435.0,55.0
5,0.1,lila,7.0,9500.0,219.0
5,0.1,lila,30.0,14142.0,544.0
6,0.1,eval,80.0,4520.0,3631.0
6,0.1,eval,103.0,4845.0,73.0
6,0.1,eval,51.0,7509.0,779.0
6,0.1,eval,30.0,9458.0,5557.0
6,0.1,eval,28.0,9937.0,744.0
6,0.1,eval,81.0,10027.0,3795.0
6,0.1,eval,79.0,10768.0,109.0
6,0.1,eval,46.0,18909.0,4131.0
6,0.1,eval,29.0,19035.0,6784.0
6,0.1,lilt,103.0,10759.0,10660.0
6,0.1,lila,103.0,4687.0,51.0
6,0.1,lila,80.0,4723.0,58.0
6,0.1,lila,81.0,5745.0,89.0
6,0.1,lila,51.0,7038.0,52.0
6,0.1,lila,30.0,7057.0,312.0
6,0.1,lila,79.0,8888.0,54.0
6,0.1,lila,46.0,13192.0,51.0
6,0.1,lila,29.0,15789.0,67.0
6,0.1,lila,6.0,18905.0,293.0
7,0.1,eval,103.0,747.0,96.0
7,0.1,eval,51.0,846.0,129.0
7,0.1,eval,7.0,5103.0,270.0
7,0.1,eval,81.0,6160.0,338.0
7,0.1,eval,80.0,6444.0,719.0
7,0.1,eval,6.0,6891.0,4765.0
7,0.1,eval,46.0,7471.0,783.0
7,0.1,eval,28.0,7789.0,1522.0
7,0.1,eval,79.0,10844.0,879.0
7,0.1,eval,29.0,12722.0,744.0
7,0.1,eval,30.0,18804.0,10005.0
7,0.1,lilt,103.0,6205.0,6129.0
7,0.1,lila,31.0,86.0,390.0
7,0.1,lila,83.0,264.0,213.0
7,0.1,lila,7.0,270.0,207.0
7,0.1,lila,81.0,666.0,140.0
7,0.1,lila,103.0,700.0,54.0
7,0.1,lila,51.0,846.0,60.0
7,0.1,lila,79.0,3208.0,66.0
7,0.1,lila,28.0,6055.0,112.0
