trial,alpha,alg,group,t,t-inv
0,0.1,eval,80.0,8167.0,601.0
0,0.1,lila,29.0,475.0,101.0
0,0.1,lila,80.0,7264.0,101.0
0,0.1,lila,6.0,8150.0,163.0
1,0.1,lila,80.0,6934.0,101.0
3,0.1,lila,83.0,3420.0,650.0
4,0.1,lila,80.0,5257.0,101.0
5,0.1,eval,80.0,8839.0,630.0
5,0.1,lila,80.0,7107.0,153.0
6,0.1,eval,87.0,9283.0,2549.0
6,0.1,eval,35.0,9713.0,2466.0
6,0.1,lila,3.0,101.0,101.0
6,0.1,lila,13.0,177.0,177.0
6,0.1,lila,87.0,9271.0,101.0
6,0.1,lila,35.0,9809.0,118.0
7,0.1,lila,30.0,2227.0,101.0
7,0.1,lila,81.0,9229.0,101.0
8,0.1,eval,81.0,5513.0,101.0
8,0.1,lila,7.0,101.0,101.0
8,0.1,lila,81.0,101.0,101.0
8,0.1,lila,31.0,1017.0,349.0
9,0.1,lila,81.0,7456.0,193.0
9,0.1,lila,7.0,7648.0,600.0
10,0.1,lila,87.0,384.0,132.0
10,0.1,lila,80.0,8156.0,101.0
11,0.1,lila,11.0,6210.0,145.0
12,0.1,eval,29.0,7365.0,6673.0
12,0.1,eval,80.0,7977.0,7059.0
12,0.1,lila,31.0,122.0,122.0
12,0.1,lila,80.0,7272.0,194.0
12,0.1,lila,29.0,7603.0,290.0
13,0.1,eval,6.0,7445.0,6424.0
13,0.1,lila,13.0,280.0,272.0
13,0.1,lila,6.0,6952.0,130.0
13,0.1,lila,80.0,7449.0,101.0
14,0.1,lila,31.0,173.0,173.0
14,0.1,lila,103.0,5338.0,101.0
14,0.1,lila,5.0,5510.0,101.0
14,0.1,lila,80.0,9359.0,101.0
15,0.1,eval,29.0,7300.0,5279.0
15,0.1,lila,29.0,6992.0,382.0
15,0.1,lila,80.0,8081.0,167.0
16,0.1,lila,12.0,102.0,101.0
18,0.1,eval,81.0,1763.0,439.0
18,0.1,lila,80.0,2304.0,101.0
18,0.1,lila,81.0,2308.0,314.0
18,0.1,lila,6.0,4454.0,121.0
19,0.1,lila,71.0,104.0,303.0
19,0.1,lila,80.0,4280.0,101.0
20,0.1,lila,30.0,1736.0,217.0
21,0.1,lila,31.0,158.0,158.0
21,0.1,lila,7.0,5522.0,101.0
22,0.1,eval,80.0,7354.0,101.0
22,0.1,lila,80.0,109.0,101.0
23,0.1,eval,81.0,2320.0,101.0
23,0.1,eval,7.0,4861.0,136.0
23,0.1,eval,80.0,8597.0,1364.0
23,0.1,lila,30.0,101.0,101.0
23,0.1,lila,81.0,101.0,101.0
23,0.1,lila,7.0,107.0,101.0
23,0.1,lila,76.0,359.0,229.0
23,0.1,lila,6.0,2080.0,176.0
23,0.1,lila,80.0,8136.0,170.0
24,0.1,eval,6.0,4857.0,2769.0
24,0.1,lila,6.0,4857.0,420.0
25,0.1,eval,6.0,6782.0,3894.0
25,0.1,eval,80.0,6833.0,3518.0
25,0.1,lila,91.0,185.0,185.0
25,0.1,lila,80.0,6123.0,101.0
25,0.1,lila,6.0,6563.0,147.0
26,0.1,eval,80.0,9458.0,941.0
26,0.1,lila,80.0,3480.0,101.0
26,0.1,lila,29.0,6364.0,182.0
28,0.1,eval,6.0,9808.0,1483.0
28,0.1,eval,80.0,9808.0,1279.0
28,0.1,lila,7.0,814.0,379.0
28,0.1,lila,46.0,1799.0,101.0
28,0.1,lila,6.0,4319.0,167.0
28,0.1,lila,80.0,4485.0,133.0
29,0.1,lila,7.0,3485.0,133.0
29,0.1,lila,81.0,5016.0,133.0
30,0.1,lila,25.0,257.0,141.0
31,0.1,lila,87.0,111.0,101.0
33,0.1,eval,80.0,1697.0,242.0
33,0.1,eval,6.0,4276.0,892.0
33,0.1,lila,6.0,1198.0,155.0
33,0.1,lila,80.0,1630.0,108.0
35,0.1,lila,31.0,2913.0,617.0
35,0.1,lila,13.0,8293.0,712.0
35,0.1,lila,88.0,8293.0,141.0
37,0.1,eval,5.0,3793.0,2082.0
38,0.1,lila,80.0,5814.0,129.0
38,0.1,lila,29.0,5879.0,240.0
41,0.1,lila,27.0,186.0,101.0
42,0.1,lila,48.0,101.0,101.0
42,0.1,lila,80.0,1414.0,101.0
43,0.1,lila,37.0,101.0,101.0
43,0.1,lila,89.0,101.0,101.0
43,0.1,lila,29.0,993.0,141.0
43,0.1,lila,8.0,1063.0,403.0
43,0.1,lila,13.0,8447.0,848.0
44,0.1,eval,80.0,5454.0,1398.0
44,0.1,eval,29.0,5511.0,1517.0
44,0.1,lila,29.0,1598.0,198.0
44,0.1,lila,80.0,4111.0,101.0
45,0.1,eval,80.0,2996.0,416.0
45,0.1,eval,29.0,8272.0,476.0
45,0.1,eval,6.0,9296.0,517.0
45,0.1,lila,46.0,448.0,101.0
45,0.1,lila,80.0,476.0,101.0
45,0.1,lila,6.0,3416.0,140.0
45,0.1,lila,29.0,4890.0,124.0
46,0.1,lila,86.0,124.0,101.0
46,0.1,lila,34.0,128.0,101.0
47,0.1,lila,80.0,9107.0,114.0
49,0.1,lila,26.0,101.0,101.0
49,0.1,lila,29.0,102.0,101.0
49,0.1,lila,80.0,114.0,101.0
49,0.1,lila,76.0,601.0,507.0
49,0.1,lila,7.0,6493.0,129.0
