trial,alpha,alg,group,t,t-inv
2,0.1,lila,71.0,101.0,1219.0
4,0.1,lila,48.0,346.0,188.0
5,0.1,eval,29.0,1821.0,430.0
5,0.1,lila,29.0,1360.0,199.0
5,0.1,lila,80.0,1466.0,99.0
8,0.1,lila,90.0,101.0,248.0
12,0.1,lila,106.0,1388.0,665.0
14,0.1,eval,30.0,9696.0,943.0
14,0.1,lila,30.0,1193.0,186.0
15,0.1,lila,101.0,103.0,89.0
15,0.1,lila,83.0,340.0,298.0
18,0.1,lila,35.0,101.0,57.0
18,0.1,lila,71.0,111.0,1257.0
21,0.1,lila,91.0,102.0,135.0
22,0.1,lila,53.0,175.0,154.0
22,0.1,lila,90.0,175.0,175.0
22,0.1,lila,105.0,175.0,129.0
23,0.1,lila,53.0,1081.0,380.0
27,0.1,lila,3.0,259.0,171.0
27,0.1,lila,29.0,328.0,93.0
30,0.1,lila,8.0,101.0,90.0
31,0.1,lila,7.0,101.0,30.0
31,0.1,lila,11.0,120.0,96.0
31,0.1,lila,86.0,131.0,46.0
32,0.1,lila,79.0,101.0,29.0
34,0.1,lila,3.0,123.0,123.0
34,0.1,lila,70.0,529.0,405.0
38,0.1,lila,8.0,194.0,183.0
39,0.1,lila,6.0,319.0,138.0
39,0.1,lila,53.0,929.0,379.0
40,0.1,lila,26.0,101.0,67.0
40,0.1,lila,77.0,101.0,67.0
40,0.1,lila,91.0,101.0,109.0
40,0.1,lila,53.0,109.0,109.0
41,0.1,lila,77.0,103.0,103.0
41,0.1,lila,53.0,531.0,388.0
42,0.1,lila,30.0,9620.0,191.0
45,0.1,lila,7.0,101.0,78.0
47,0.1,lila,27.0,101.0,66.0
47,0.1,lila,51.0,101.0,14.0
49,0.1,lila,83.0,352.0,188.0
54,0.1,eval,29.0,6670.0,6119.0
54,0.1,lila,29.0,7286.0,202.0
55,0.1,lila,3.0,102.0,102.0
57,0.1,lila,71.0,101.0,251.0
58,0.1,lila,106.0,211.0,204.0
58,0.1,lila,30.0,3759.0,323.0
64,0.1,lila,53.0,1454.0,441.0
67,0.1,lila,30.0,1935.0,226.0
68,0.1,lila,90.0,101.0,179.0
68,0.1,lila,105.0,352.0,100.0
69,0.1,lila,80.0,244.0,120.0
69,0.1,lila,51.0,4504.0,101.0
70,0.1,lila,48.0,101.0,77.0
70,0.1,lila,105.0,101.0,77.0
70,0.1,lila,31.0,177.0,177.0
70,0.1,lila,82.0,222.0,177.0
73,0.1,lila,91.0,4370.0,1130.0
74,0.1,lila,30.0,7918.0,503.0
76,0.1,lila,30.0,5538.0,359.0
77,0.1,lila,30.0,3760.0,416.0
82,0.1,lila,29.0,518.0,70.0
84,0.1,lila,30.0,101.0,76.0
84,0.1,lila,81.0,103.0,60.0
85,0.1,eval,29.0,2062.0,1112.0
91,0.1,eval,29.0,3206.0,951.0
92,0.1,lila,91.0,171.0,171.0
94,0.1,lila,78.0,119.0,59.0
95,0.1,lila,7.0,101.0,38.0
95,0.1,lila,71.0,101.0,1897.0
95,0.1,lila,81.0,101.0,35.0
95,0.1,lila,30.0,260.0,96.0
95,0.1,lila,28.0,332.0,95.0
96,0.1,lila,83.0,771.0,554.0
97,0.1,lila,91.0,101.0,1062.0
