trial,alpha,alg,group,t,t-inv
2,0.1,lila,71.0,101.0,1219.0
4,0.1,lila,48.0,346.0,188.0
5,0.1,eval,29.0,1821.0,430.0
5,0.1,lila,29.0,1360.0,199.0
5,0.1,lila,80.0,1466.0,101.0
8,0.1,lila,90.0,101.0,248.0
12,0.1,lila,106.0,1388.0,665.0
14,0.1,eval,30.0,9696.0,943.0
14,0.1,lila,30.0,1193.0,186.0
15,0.1,lila,101.0,103.0,101.0
15,0.1,lila,83.0,340.0,298.0
18,0.1,lila,35.0,101.0,101.0
18,0.1,lila,71.0,111.0,1257.0
21,0.1,lila,91.0,102.0,135.0
22,0.1,lila,53.0,175.0,154.0
22,0.1,lila,90.0,175.0,175.0
22,0.1,lila,105.0,175.0,129.0
23,0.1,lila,53.0,1081.0,380.0
27,0.1,lila,3.0,259.0,171.0
27,0.1,lila,29.0,328.0,101.0
30,0.1,lila,8.0,101.0,101.0
31,0.1,lila,7.0,101.0,101.0
31,0.1,lila,11.0,120.0,101.0
31,0.1,lila,86.0,131.0,101.0
32,0.1,lila,79.0,101.0,101.0
34,0.1,lila,3.0,123.0,123.0
34,0.1,lila,70.0,529.0,405.0
38,0.1,lila,8.0,194.0,183.0
39,0.1,lila,6.0,319.0,138.0
39,0.1,lila,53.0,929.0,379.0
40,0.1,lila,26.0,101.0,101.0
40,0.1,lila,77.0,101.0,101.0
40,0.1,lila,91.0,101.0,109.0
40,0.1,lila,53.0,109.0,109.0
41,0.1,lila,77.0,103.0,103.0
41,0.1,lila,53.0,531.0,388.0
42,0.1,lila,30.0,9620.0,191.0
45,0.1,lila,7.0,101.0,101.0
47,0.1,lila,27.0,101.0,101.0
47,0.1,lila,51.0,101.0,101.0
49,0.1,lila,83.0,352.0,188.0
