trial,alpha,alg,group,t,t-inv
0,0.1,eval,25.0,4740.0,549.0
0,0.1,eval,75.0,4767.0,4017.0
0,0.1,eval,80.0,4812.0,475.0
0,0.1,eval,103.0,5182.0,3286.0
0,0.1,eval,6.0,5261.0,3665.0
0,0.1,eval,46.0,5318.0,4891.0
0,0.1,sprt,103.0,7278.0,3189.0
0,0.1,lila,29.0,450.0,101.0
0,0.1,lila,80.0,601.0,101.0
0,0.1,lila,75.0,4619.0,232.0
0,0.1,lila,25.0,4740.0,257.0
0,0.1,lila,103.0,4887.0,101.0
0,0.1,lila,6.0,5204.0,163.0
0,0.1,lila,46.0,5211.0,101.0
0,0.1,lila,76.0,8318.0,378.0
1,0.1,eval,80.0,5041.0,3610.0
1,0.1,eval,103.0,6422.0,2955.0
1,0.1,eval,29.0,6457.0,4365.0
1,0.1,eval,81.0,7331.0,3415.0
1,0.1,eval,7.0,7359.0,3022.0
1,0.1,lila,6.0,1334.0,101.0
1,0.1,lila,80.0,4340.0,101.0
1,0.1,lila,29.0,5874.0,245.0
1,0.1,lila,7.0,5996.0,206.0
1,0.1,lila,103.0,6215.0,101.0
1,0.1,lila,81.0,6371.0,206.0
2,0.1,eval,5.0,1576.0,361.0
2,0.1,lila,5.0,401.0,139.0
2,0.1,lila,103.0,7234.0,101.0
2,0.1,lila,7.0,8334.0,101.0
2,0.1,lila,46.0,8743.0,101.0
3,0.1,eval,83.0,5510.0,1657.0
3,0.1,eval,103.0,9995.0,3349.0
3,0.1,sprt,103.0,9804.0,2736.0
3,0.1,lila,83.0,1685.0,650.0
3,0.1,lila,103.0,3736.0,101.0
3,0.1,lila,46.0,4882.0,102.0
3,0.1,lila,35.0,7218.0,274.0
3,0.1,lila,80.0,9071.0,102.0
4,0.1,eval,103.0,3649.0,2528.0
4,0.1,eval,81.0,3821.0,2908.0
4,0.1,eval,46.0,3823.0,2902.0
4,0.1,eval,80.0,3828.0,382.0
4,0.1,eval,6.0,5241.0,1907.0
4,0.1,sprt,103.0,7574.0,2613.0
4,0.1,lila,80.0,426.0,101.0
4,0.1,lila,29.0,441.0,165.0
4,0.1,lila,31.0,903.0,241.0
4,0.1,lila,6.0,2362.0,133.0
4,0.1,lila,103.0,3509.0,101.0
4,0.1,lila,46.0,3823.0,101.0
4,0.1,lila,88.0,3893.0,448.0
4,0.1,lila,81.0,7996.0,464.0
5,0.1,eval,46.0,4099.0,3079.0
5,0.1,eval,80.0,4586.0,590.0
5,0.1,eval,6.0,6405.0,3193.0
5,0.1,eval,103.0,6569.0,3143.0
5,0.1,eval,86.0,7525.0,4180.0
5,0.1,eval,81.0,8070.0,3374.0
5,0.1,eval,29.0,9190.0,661.0
5,0.1,sprt,103.0,8240.0,3138.0
5,0.1,lila,13.0,101.0,295.0
5,0.1,lila,80.0,3879.0,153.0
5,0.1,lila,103.0,4096.0,101.0
5,0.1,lila,46.0,5583.0,101.0
5,0.1,lila,86.0,5626.0,101.0
5,0.1,lila,6.0,6135.0,330.0
5,0.1,lila,34.0,7786.0,101.0
5,0.1,lila,29.0,7966.0,175.0
5,0.1,lila,81.0,8070.0,101.0
6,0.1,eval,35.0,2714.0,2408.0
6,0.1,eval,103.0,6078.0,1209.0
6,0.1,eval,87.0,7206.0,2486.0
6,0.1,eval,81.0,7519.0,681.0
6,0.1,sprt,103.0,7911.0,2869.0
6,0.1,lila,3.0,101.0,101.0
6,0.1,lila,13.0,177.0,177.0
6,0.1,lila,30.0,1633.0,437.0
6,0.1,lila,103.0,5426.0,101.0
6,0.1,lila,46.0,6297.0,101.0
6,0.1,lila,81.0,6527.0,277.0
6,0.1,lila,87.0,7204.0,101.0
6,0.1,lila,35.0,7465.0,118.0
6,0.1,lila,51.0,9382.0,105.0
7,0.1,eval,30.0,2445.0,1548.0
7,0.1,eval,103.0,7425.0,2612.0
