trial,alpha,alg,group,t,t-inv
0,0.1,eval,13.0,40.0,14.0
0,0.1,eval,24.0,50.0,18.0
0,0.1,eval,7.0,204.0,53.0
0,0.1,eval,21.0,286.0,263.0
0,0.1,lilt,13.0,68.0,8.0
0,0.1,lilt,24.0,68.0,8.0
0,0.1,lilt,7.0,272.0,17.0
0,0.1,lilt,21.0,312.0,16.0
0,0.1,lila,13.0,26.0,26.0
0,0.1,lila,24.0,26.0,26.0
0,0.1,lila,7.0,84.0,26.0
0,0.1,lila,21.0,281.0,26.0
1,0.1,eval,13.0,64.0,12.0
1,0.1,eval,24.0,106.0,15.0
1,0.1,eval,7.0,127.0,63.0
1,0.1,eval,21.0,135.0,107.0
1,0.1,lilt,21.0,147.0,16.0
1,0.1,lilt,7.0,158.0,19.0
1,0.1,lilt,13.0,164.0,8.0
1,0.1,lilt,24.0,214.0,8.0
1,0.1,lila,13.0,26.0,26.0
1,0.1,lila,24.0,26.0,26.0
1,0.1,lila,7.0,92.0,26.0
1,0.1,lila,21.0,123.0,26.0
2,0.1,eval,7.0,41.0,25.0
2,0.1,eval,21.0,66.0,29.0
2,0.1,eval,13.0,123.0,50.0
2,0.1,eval,24.0,156.0,118.0
2,0.1,lilt,7.0,60.0,26.0
2,0.1,lilt,21.0,70.0,9.0
2,0.1,lilt,13.0,188.0,35.0
2,0.1,lilt,24.0,229.0,29.0
2,0.1,lila,7.0,26.0,26.0
2,0.1,lila,21.0,34.0,26.0
2,0.1,lila,13.0,50.0,35.0
2,0.1,lila,24.0,129.0,28.0
3,0.1,eval,13.0,82.0,50.0
3,0.1,eval,7.0,114.0,9.0
3,0.1,eval,24.0,149.0,56.0
3,0.1,eval,21.0,213.0,120.0
3,0.1,lilt,7.0,9.0,6.0
3,0.1,lilt,13.0,195.0,29.0
3,0.1,lilt,24.0,253.0,29.0
3,0.1,lilt,21.0,346.0,6.0
3,0.1,lila,7.0,26.0,26.0
3,0.1,lila,13.0,48.0,29.0
3,0.1,lila,24.0,59.0,29.0
3,0.1,lila,21.0,213.0,26.0
4,0.1,eval,7.0,71.0,53.0
4,0.1,eval,13.0,88.0,48.0
