trial,alpha,stoptime,gflag_idx,alg
3,0.030000000000000006,292,103,avg
3,0.04000000000000001,255,29,unif
3,0.04000000000000001,158,29,max
3,0.04000000000000001,386,103,bonf
3,0.04000000000000001,738,103,innerprod
3,0.04000000000000001,292,103,avg
3,0.05000000000000001,240,29,unif
3,0.05000000000000001,158,29,max
3,0.05000000000000001,386,103,bonf
3,0.05000000000000001,658,103,innerprod
3,0.05000000000000001,292,103,avg
3,0.06000000000000001,161,29,unif
3,0.06000000000000001,158,29,max
3,0.06000000000000001,383,103,bonf
3,0.06000000000000001,587,103,innerprod
3,0.06000000000000001,286,29,avg
3,0.07,178,29,unif
3,0.07,145,29,max
3,0.07,329,103,bonf
3,0.07,538,103,innerprod
3,0.07,286,29,avg
3,0.08,353,29,unif
3,0.08,145,29,max
3,0.08,329,103,bonf
3,0.08,515,103,innerprod
3,0.08,280,29,avg
3,0.09000000000000001,192,29,unif
3,0.09000000000000001,109,29,max
3,0.09000000000000001,329,103,bonf
3,0.09000000000000001,513,103,innerprod
3,0.09000000000000001,280,29,avg
3,0.1,172,80,unif
3,0.1,109,29,max
3,0.1,329,103,bonf
3,0.1,505,103,innerprod
3,0.1,280,29,avg
4,0.01,2241,103,unif
4,0.01,1730,103,max
4,0.01,2512,103,bonf
4,0.01,2733,103,innerprod
4,0.01,2246,103,avg
4,0.020000000000000004,2255,6,unif
4,0.020000000000000004,1711,103,max
4,0.020000000000000004,2492,103,bonf
4,0.020000000000000004,2622,103,innerprod
4,0.020000000000000004,2203,103,avg
4,0.030000000000000006,2146,80,unif
4,0.030000000000000006,266,86,max
4,0.030000000000000006,2454,103,bonf
4,0.030000000000000006,2526,103,innerprod
4,0.030000000000000006,2198,6,avg
4,0.04000000000000001,1537,86,unif
4,0.04000000000000001,264,86,max
4,0.04000000000000001,2379,103,bonf
4,0.04000000000000001,2457,103,innerprod
4,0.04000000000000001,2197,6,avg
4,0.05000000000000001,1772,103,unif
4,0.05000000000000001,264,86,max
4,0.05000000000000001,2373,103,bonf
4,0.05000000000000001,2373,103,innerprod
4,0.05000000000000001,2146,103,avg
4,0.06000000000000001,1508,86,unif
4,0.06000000000000001,264,86,max
4,0.06000000000000001,2373,103,bonf
4,0.06000000000000001,2372,103,innerprod
4,0.06000000000000001,2143,103,avg
4,0.07,1698,103,unif
4,0.07,264,86,max
4,0.07,2372,103,bonf
4,0.07,2326,103,innerprod
4,0.07,2143,103,avg
4,0.08,266,86,unif
4,0.08,262,86,max
4,0.08,2368,103,bonf
4,0.08,2267,103,innerprod
4,0.08,2143,103,avg
4,0.09000000000000001,1388,86,unif
4,0.09000000000000001,262,86,max
4,0.09000000000000001,2267,6,bonf
4,0.09000000000000001,2251,103,innerprod
4,0.09000000000000001,2143,103,avg
4,0.1,279,86,unif
4,0.1,262,86,max
4,0.1,2267,6,bonf
4,0.1,2247,103,innerprod
4,0.1,2143,103,avg
5,0.01,1738,103,unif
5,0.01,1520,103,max
5,0.01,4046,103,bonf
5,0.01,2866,103,innerprod
5,0.01,1693,103,avg
5,0.020000000000000004,1585,103,unif
5,0.020000000000000004,593,103,max
5,0.020000000000000004,3656,103,bonf
5,0.020000000000000004,2356,103,innerprod
5,0.020000000000000004,1690,103,avg
5,0.030000000000000006,1335,87,unif
5,0.030000000000000006,591,103,max
5,0.030000000000000006,3488,103,bonf
5,0.030000000000000006,1866,103,innerprod
5,0.030000000000000006,1611,103,avg
5,0.04000000000000001,860,103,unif
5,0.04000000000000001,591,103,max
5,0.04000000000000001,3470,103,bonf
5,0.04000000000000001,1705,103,innerprod
5,0.04000000000000001,1522,103,avg
5,0.05000000000000001,593,103,unif
5,0.05000000000000001,483,46,max
5,0.05000000000000001,3404,103,bonf
5,0.05000000000000001,1679,103,innerprod
5,0.05000000000000001,1522,103,avg
5,0.06000000000000001,701,46,unif
5,0.06000000000000001,453,80,max
5,0.06000000000000001,3385,103,bonf
5,0.06000000000000001,1643,103,innerprod
5,0.06000000000000001,1520,103,avg
5,0.07,456,46,unif
5,0.07,428,46,max
5,0.07,3385,103,bonf
5,0.07,1608,103,innerprod
5,0.07,1517,103,avg
5,0.08,588,103,unif
5,0.08,428,46,max
5,0.08,3344,103,bonf
5,0.08,1522,103,innerprod
5,0.08,1516,14,avg
5,0.09000000000000001,433,80,unif
5,0.09000000000000001,428,46,max
5,0.09000000000000001,3344,103,bonf
5,0.09000000000000001,1520,103,innerprod
5,0.09000000000000001,1471,14,avg
5,0.1,619,87,unif
5,0.1,428,46,max
