trial,alpha,alg,group,t,t-inv
0,0.1,eval,80.0,16241.0,11335.0
0,0.1,eval,29.0,23439.0,10322.0
0,0.1,lila,29.0,70.0,51.0
0,0.1,lila,76.0,88.0,373.0
0,0.1,lila,80.0,11542.0,51.0
0,0.1,lila,103.0,24934.0,51.0
0,0.1,lila,6.0,31227.0,193.0
0,0.1,lila,51.0,38894.0,51.0
1,0.1,eval,103.0,460.0,259.0
1,0.1,eval,80.0,9159.0,4467.0
1,0.1,eval,29.0,15585.0,5453.0
1,0.1,eval,51.0,21247.0,528.0
1,0.1,lila,46.0,283.0,51.0
1,0.1,lila,103.0,448.0,51.0
1,0.1,lila,80.0,5408.0,51.0
1,0.1,lila,29.0,9211.0,188.0
1,0.1,lila,83.0,9728.0,667.0
1,0.1,lila,51.0,10848.0,98.0
1,0.1,lila,6.0,14789.0,257.0
2,0.1,eval,81.0,30271.0,19413.0
2,0.1,eval,30.0,36693.0,6586.0
2,0.1,eval,80.0,38044.0,254.0
2,0.1,lila,6.0,282.0,152.0
2,0.1,lila,80.0,24077.0,151.0
2,0.1,lila,81.0,29387.0,247.0
2,0.1,lila,30.0,29433.0,347.0
3,0.1,eval,30.0,15680.0,7849.0
3,0.1,eval,80.0,20054.0,4036.0
3,0.1,eval,51.0,20896.0,8661.0
3,0.1,eval,29.0,26705.0,20023.0
3,0.1,eval,103.0,31261.0,19112.0
3,0.1,lila,30.0,10023.0,312.0
3,0.1,lila,81.0,15268.0,89.0
3,0.1,lila,80.0,19116.0,58.0
3,0.1,lila,51.0,19837.0,52.0
3,0.1,lila,29.0,22751.0,67.0
3,0.1,lila,103.0,25296.0,51.0
3,0.1,lila,6.0,39674.0,293.0
4,0.1,eval,80.0,13002.0,1987.0
4,0.1,eval,29.0,18034.0,13853.0
4,0.1,eval,81.0,21970.0,15637.0
4,0.1,eval,103.0,26959.0,16660.0
4,0.1,eval,6.0,36019.0,2114.0
4,0.1,lila,8.0,51.0,157.0
4,0.1,lila,80.0,11815.0,122.0
4,0.1,lila,29.0,16152.0,152.0
4,0.1,lila,81.0,16775.0,265.0
4,0.1,lila,51.0,21136.0,100.0
4,0.1,lila,103.0,21651.0,51.0
4,0.1,lila,30.0,21970.0,454.0
4,0.1,lila,6.0,33118.0,646.0
5,0.1,eval,80.0,15527.0,5646.0
5,0.1,eval,29.0,16441.0,14756.0
5,0.1,eval,6.0,34457.0,2948.0
5,0.1,eval,51.0,38170.0,5088.0
5,0.1,lila,51.0,5741.0,57.0
5,0.1,lila,80.0,13403.0,190.0
5,0.1,lila,29.0,15779.0,391.0
5,0.1,lila,6.0,26884.0,363.0
5,0.1,lila,103.0,39292.0,51.0
6,0.1,eval,80.0,2607.0,1541.0
6,0.1,eval,29.0,15650.0,1613.0
6,0.1,eval,51.0,21650.0,1482.0
